,Title,Authors,Journal,Year,Link Abstract,Link HTML,Link PDF
12,Boosting Goos-Hanchen shift from a Bloch surface wave structure by optimizing excitation angles,"li, shuna; Liu, Jiansheng; Wan, Yuhang; Kong, Weijing; Sun, Yu; Zheng, Zheng","Asia Communications and Photonics Conference, Paper# AF2I.22 ",2013,https://www.osapublishing.org/abstract.cfm?uri=acpc-2013-AF2I.22&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=acpc-2013-AF2I.22&seq=0&origin=search
13,Giant Goos–Hänchen shift in scattering: the role of interfering localized plasmon modes,"Soni, J.; Mansha, S.; Dutta Gupta, S.; Banerjee, A.; Ghosh, N.",Optics Letters 39(14) 4100-4103 ,2014,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-39-14-4100&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-14-4100&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-14-4100&seq=0&origin=search
14,Experimental observation of a giant Goos–Hänchen shift in graphene using a beam splitter scanning method,"Li, Xin; Wang, Peng; Xing, Fei; Chen, Xu-Dong; Liu, Zhi-Bo; Tian, Jian-Guo",Optics Letters 39(19) 5574-5577 ,2014,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-39-19-5574&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-19-5574&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-19-5574&seq=0&origin=search
15,Goos-Hänchen Shift on Flat and Not-So-Flat Metal Surfaces,"Merano, M.; Aiello, A.; 't Hooft, G. W.; van Exter, M. P.; Eliel, E. R.; Woerdman, J. P.","Frontiers in Optics, Paper# FMD6 ",2008,https://www.osapublishing.org/abstract.cfm?uri=fio-2008-FMD6&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=fio-2008-FMD6&seq=0&origin=search
16,Direct Measurement of Negative Optical Goos-Hanchen Shift from Photonic Crystal,"Wong, Yu-Po; Xiao, Xuerong; Solgaard, Olav","QELS Fundamental Science, Paper# FF2B.3 ",2016,https://www.osapublishing.org/abstract.cfm?uri=cleo_qels-2016-FF2B.3&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_qels-2016-FF2B.3&seq=0&origin=search
17,Tunable resonant Goos–Hänchen and Imbert–Fedorov shifts in total reflection of terahertz beams from graphene plasmonic metasurfaces,"Farmani, Ali; Miri, Mehdi; Sheikhi, Mohammad H.",Journal of the Optical Society of America B 34(6) 1097-1106 ,2017,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-34-6-1097&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-34-6-1097&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-34-6-1097&seq=0&origin=search
18,Goos-Hänchen Effect for High-Loss Materials,"Götte, Jörg B.; Aiello, Andrea; Woerdman, J. P.","Frontiers in Optics, Paper# FMD5 ",2008,https://www.osapublishing.org/abstract.cfm?uri=fio-2008-FMD5&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=fio-2008-FMD5&seq=0&origin=search
19,Giant Goos-Hanchen shift enhancement under total internal reflection by one-dimensional photonic crystals,"Wan, Yuhang; Zheng, Zheng; Kong, Weijing","Frontiers in Optics, Paper# FWK4 ",2011,https://www.osapublishing.org/abstract.cfm?uri=fio-2011-FWK4&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=fio-2011-FWK4&seq=0&origin=search
20,Goos-Hänchen shift,"Snyder, Allan W.; Love, John D.",Applied Optics 15(1) 236-238 ,1976,https://www.osapublishing.org/ao/abstract.cfm?uri=ao-15-1-236&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-15-1-236&seq=0&html=true&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-15-1-236&seq=0&origin=search
21,Ultra-Broadband Radial Polarization Conversion based on Goos-Hanchen Shift,"Phua, P.B.; Lai, W.J.","The European Conference on Lasers and Electro-Optics, Paper# CC_10 ",2007,https://www.osapublishing.org/abstract.cfm?uri=cleo_europe-2007-CC_10&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_europe-2007-CC_10&seq=0&origin=search
22,Giant and tunable Goos–Hanchen shifts for attenuated total reflection structure containing graphene,"Cheng, Min; Fu, Ping; Chen, Xiyao; Zeng, Xiahui; Feng, Shangyuan; Chen, Rong",Journal of the Optical Society of America B 31(10) 2325-2329 ,2014,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-31-10-2325&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-31-10-2325&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-31-10-2325&seq=0&origin=search
23,Energy flux and Goos–Hänchen shift in frustrated total internal reflection,"Chen, Xi; Lu, Xiao-Jing; Zhao, Pei-Liang; Zhu, Qi-Biao",Optics Letters 37(9) 1526-1528 ,2012,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-37-9-1526&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-37-9-1526&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-37-9-1526&seq=0&origin=search
24,An angular spectrum representation approach to the Goos-Hänchen shift,"McGuirk, M.; Carniglia, C. K.",Journal of the Optical Society of America 67(1) 103-107 ,1977,https://www.osapublishing.org/josa/abstract.cfm?uri=josa-67-1-103&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-67-1-103&seq=0&html=true&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-67-1-103&seq=0&origin=search
25,Goos-Hänchen shifts in harmonic generation from metals,"Yallapragada, V. J.; Gopal, Achanta Venu; Agarwal, G. S.",Optics Express 21(9) 10878-10885 ,2013,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-21-9-10878&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-21-9-10878&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-21-9-10878&seq=0&origin=search
26,Propagation-dependent beam profile distortion associated with the Goos-Hanchen shift,"Wan, Yuhang; Zheng, Zheng; Zhu, Jinsong",Optics Express 17(23) 21313-21319 ,2009,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-17-23-21313&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-17-23-21313&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-17-23-21313&seq=0&origin=search
27,Optical heterodyne sensor using the Goos–Hänchen shift,"Hashimoto, Takaharu; Yoshino, Toshihiko",Optics Letters 14(17) 913-915 ,1989,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-14-17-913&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-14-17-913&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-14-17-913&seq=0&origin=search
28,Giant positive and negative Goos-Hänchen shift on dielectric gratings caused by guided mode resonance,"Yang, Rui; Zhu, Wenkan; Li, Jingjing",Optics Express 22(2) 2043-2050 ,2014,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-22-2-2043&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-2-2043&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-2-2043&seq=0&origin=search
29,An Experiment to Measure the Goos-Hanchen Shift,"Prajapati, Chandravati; Joseph, Joby","International Conference on Fibre Optics and Photonics, Paper# MPo.6 ",2012,https://www.osapublishing.org/abstract.cfm?uri=photonics-2012-MPo.6&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=photonics-2012-MPo.6&seq=0&origin=search
30,Nonlocal optical effects on the Goos–Hänchen shift at an interface of a composite material of metallic nanoparticles,"Huang, J. H.; Leung, P. T.",Journal of the Optical Society of America A 30(7) 1387-1393 ,2013,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-30-7-1387&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-30-7-1387&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-30-7-1387&seq=0&origin=search
31,Weak measurement of the Goos-Hänchen shift,"Jayaswal, Gaurav; Mistura, Giampaolo; Merano, Michele","QELS Fundamental Science, Paper# QM4C.5 ",2013,https://www.osapublishing.org/abstract.cfm?uri=cleo_qels-2013-QM4C.5&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_qels-2013-QM4C.5&seq=0&origin=search
32,Goos–Hänchen and Imbert–Fedorov shifts for paraxial X-waves,"Ornigotti, Marco; Aiello, Andrea; Conti, Claudio",Optics Letters 40(4) 558-561 ,2015,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-40-4-558&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-40-4-558&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-40-4-558&seq=0&origin=search
33,Graphene-assisted resonant transmission and enhanced Goos–Hänchen shift in a frustrated total internal reflection configuration,"Chen, Yi; Ban, Yue; Zhu, Qi-Biao; Chen, Xi",Optics Letters 41(19) 4468-4471 ,2016,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-41-19-4468&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-41-19-4468&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-41-19-4468&seq=0&origin=search
